window_name,window_numeric_id,step,avgR,stdR,expR,objC,objA,rec_path
ddpg_window_1292,1292,20992.0,12.119111061096191,0.0,0.007697912864387035,0.6413998115167487,-3.420799238141626,checkpoints\ddpg_window_1292\recorder.npy
ddpg_window_1312,1312,20992.0,16.715190887451172,0.0,0.022783242166042328,0.5603677706676535,-2.79149631340988,checkpoints\ddpg_window_1312\recorder.npy
ddpg_window_1332,1332,20992.0,13.431304931640625,0.0,0.02017778530716896,0.5689532437972957,-3.275071711279452,checkpoints\ddpg_window_1332\recorder.npy
ddpg_window_1352,1352,20992.0,8.056670188903809,0.0,-0.0023786015808582306,0.8419716538046487,-5.55645140260458,checkpoints\ddpg_window_1352\recorder.npy
ddpg_window_1372,1372,20992.0,8.931879997253418,0.0,-0.009181489236652851,0.6338547583436593,-3.6724751400761306,checkpoints\ddpg_window_1372\recorder.npy
ddpg_window_1392,1392,20992.0,6.022711277008057,0.0,-0.003250591456890106,0.3761505962756928,-3.393916883505881,checkpoints\ddpg_window_1392\recorder.npy
ddpg_window_1412,1412,20992.0,2.660327196121216,0.0,-0.03228248655796051,0.651674456166802,-4.451100319158286,checkpoints\ddpg_window_1412\recorder.npy
ddpg_window_1432,1432,20992.0,4.336136817932129,0.0,-0.012892108410596848,0.552051516919164,-5.727311318740249,checkpoints\ddpg_window_1432\recorder.npy
ddpg_window_1452,1452,20992.0,1.0784318447113037,0.0,-0.044708251953125,0.5288861176668433,-8.878715293481946,checkpoints\ddpg_window_1452\recorder.npy
ddpg_window_1472,1472,20992.0,2.4418866634368896,0.0,-0.04603271931409836,0.573352985753445,-7.222041675820947,checkpoints\ddpg_window_1472\recorder.npy
ddpg_window_1492,1492,20992.0,-4.105302810668945,0.0,-0.056746162474155426,0.49501791172951926,-6.729170543141663,checkpoints\ddpg_window_1492\recorder.npy
ddpg_window_1512,1512,20992.0,-8.688969612121582,0.0,-0.04325171560049057,0.5161770163977053,-5.914785169064999,checkpoints\ddpg_window_1512\recorder.npy
ddpg_window_1532,1532,20992.0,-12.848945617675781,0.0,-0.0960574597120285,0.43184757968992926,-3.2507727569900453,checkpoints\ddpg_window_1532\recorder.npy
ddpg_window_1552,1552,20992.0,-15.345995903015137,0.0,-0.10618256777524948,0.6590453186363447,-7.7984707076102495,checkpoints\ddpg_window_1552\recorder.npy
ddpg_window_1572,1572,20992.0,-10.255646705627441,0.0,-0.08213568478822708,0.6842809608497191,-7.752535587176681,checkpoints\ddpg_window_1572\recorder.npy
ddpg_window_1592,1592,20992.0,-9.500417709350586,0.0,-0.09123720973730087,0.5847591122146696,-7.243576965294778,checkpoints\ddpg_window_1592\recorder.npy
ddpg_window_1612,1612,20992.0,-5.271865367889404,0.0,-0.06305728852748871,0.6153380414325511,-7.625075075775385,checkpoints\ddpg_window_1612\recorder.npy
ddpg_window_1632,1632,20992.0,-9.166293144226074,0.0,-0.07503461092710495,0.3854718069487717,-5.8974153669551015,checkpoints\ddpg_window_1632\recorder.npy
ddpg_window_1652,1652,20992.0,-16.77170753479004,0.0,-0.10436812043190002,0.45113930947263725,-6.509898150339723,checkpoints\ddpg_window_1652\recorder.npy
ddpg_window_1672,1672,20992.0,-5.3768744468688965,5.840038852511498e-07,-0.07695604115724564,0.5656668795418227,-4.05628126533702,checkpoints\ddpg_window_1672\recorder.npy
ddpg_window_1692,1692,20992.0,7.34939432144165,5.840038852511498e-07,-0.025004148483276367,0.46202157728839666,-3.6499157892540097,checkpoints\ddpg_window_1692\recorder.npy
ddpg_window_1712,1712,20992.0,5.140544414520264,0.0,-0.015639405697584152,0.5781509492662735,-2.3746535786194727,checkpoints\ddpg_window_1712\recorder.npy
ddpg_window_1732,1732,20992.0,-8.513710975646973,0.0,-0.061235249042510986,0.2599133225303376,-4.932701857294887,checkpoints\ddpg_window_1732\recorder.npy
ddpg_window_1752,1752,20992.0,-9.867775917053223,0.0,-0.06321887671947479,0.4387700721999863,-4.00485605513677,checkpoints\ddpg_window_1752\recorder.npy
ddpg_window_1772,1772,20992.0,0.2711949050426483,0.0,-0.03153250366449356,0.6073072504368611,-3.7772928928025067,checkpoints\ddpg_window_1772\recorder.npy
ddpg_window_1792,1792,20992.0,4.221399307250977,0.0,-0.012933135963976383,0.5623247983166948,-1.1823596883768914,checkpoints\ddpg_window_1792\recorder.npy
ddpg_window_1812,1812,20992.0,19.194589614868164,0.0,0.04202694818377495,0.4539878918149043,-1.034082846614183,checkpoints\ddpg_window_1812\recorder.npy
ddpg_window_1832,1832,20992.0,12.197882652282715,0.0,0.007593322545289993,0.39483266086608637,1.1449961389735108,checkpoints\ddpg_window_1832\recorder.npy
ddpg_window_1852,1852,20992.0,2.5268125534057617,0.0,-0.013934044167399406,0.543435651488835,-3.049072975292802,checkpoints\ddpg_window_1852\recorder.npy
ddpg_window_1872,1872,20992.0,14.594372749328613,1.1680077705022995e-06,0.0015411763451993465,0.36455959946033545,-2.3426327125635,checkpoints\ddpg_window_1872\recorder.npy
ddpg_window_1892,1892,20992.0,14.302504539489746,0.0,0.02004091441631317,0.5450235476309899,-1.777924373629503,checkpoints\ddpg_window_1892\recorder.npy
ddpg_window_1912,1912,20992.0,7.42519998550415,0.0,-0.0033182594925165176,0.5409392377769109,-1.8643842512974516,checkpoints\ddpg_window_1912\recorder.npy
ddpg_window_1932,1932,20992.0,17.85149383544922,0.0,0.02794928476214409,0.6605349739256781,-0.689279422913387,checkpoints\ddpg_window_1932\recorder.npy
ddpg_window_1952,1952,20992.0,3.528109550476074,0.0,-0.0161657202988863,0.794593497630558,-2.036205845535733,checkpoints\ddpg_window_1952\recorder.npy
