date,account_value
2012-10-25,974757.1426209164
2012-10-26,973526.8742340755
2012-10-31,1000000.0
2012-11-01,1001480.7793403626
2012-11-02,998645.0701475147
2012-11-05,999099.6004730229
2012-11-06,1005038.1882671363
2012-11-07,986893.6509166725
2012-11-08,978172.6979066858
2012-11-09,977919.3784139642
2012-11-12,978696.7529763421
2012-11-13,975834.0474480828
2012-11-14,960511.2361420831
2012-11-15,959797.4889115533
2012-11-16,964998.1579827508
2012-11-19,981651.5839165887
2012-11-20,983192.1413756646
2012-11-21,988759.4233735437
2012-11-23,1002330.6631502351
2012-11-26,999627.1700761765
2012-11-27,991783.4740896119
2012-11-28,998031.0272175435
2012-11-29,1000000.0
2012-11-30,999837.8986719133
2012-12-03,998951.1680511475
2012-12-04,997229.372445488
2012-12-05,1000306.8072349548
2012-12-06,1001130.1735633849
2012-12-07,1003272.435987854
2012-12-10,1005539.4427648544
2012-12-11,1011257.8394823074
2012-12-12,1011701.571386013
2012-12-13,1007289.6848993034
2012-12-14,1004985.1736695899
2012-12-17,1017310.6412681503
2012-12-18,1028170.6165366306
2012-12-19,1020042.9589649276
2012-12-20,1027651.7763268432
2012-12-21,1018318.432379694
2012-12-24,1015066.0775151005
2012-12-26,1010188.0551144886
2012-12-27,1007436.6695229816
2012-12-28,1000000.0
2012-12-31,1001247.7048503875
2013-01-02,1006081.1047164911
2013-01-03,1004516.4829042429
2013-01-04,1005167.323287582
2013-01-07,1002305.082046127
2013-01-08,1000646.147388458
2013-01-09,1004585.8934877395
2013-01-10,1008279.7360090255
2013-01-11,1009287.9437846069
2013-01-14,1009777.1373882579
2013-01-15,1010853.576886446
2013-01-16,1006615.4259806194
2013-01-17,1012676.0286486454
2013-01-18,1011400.7510453662
2013-01-22,1018334.1901138439
2013-01-23,1023778.2250843296
2013-01-24,1025723.9017344989
2013-01-25,1032899.0338492526
2013-01-28,1034014.7232344456
2013-01-29,1000000.0
2013-01-30,999499.6070934297
2013-01-31,999069.9425090791
2013-02-01,1003556.8288677216
2013-02-04,997942.9073440551
2013-02-05,1003885.1311242103
2013-02-06,1004026.7215334891
2013-02-07,1000971.2843459127
2013-02-08,1005897.5863053701
2013-02-11,1003473.8979508779
2013-02-12,1007176.7880799673
2013-02-13,1005474.2327668569
2013-02-14,1007205.966737499
2013-02-15,1006036.6076447866
2013-02-19,1010836.8059327505
2013-02-20,1001227.1124055288
2013-02-21,995870.7296922109
2013-02-22,1007107.1015717885
2013-02-25,990452.9198052785
2013-02-26,997376.3675858877
2013-02-27,1000000.0
2013-02-28,999627.7322769164
2013-03-01,1000997.3021806716
2013-03-04,1002154.0205463407
2013-03-05,1005269.0009084698
2013-03-06,1006760.2512235639
2013-03-07,1009347.246650314
2013-03-08,1011133.2819536207
2013-03-11,1012423.5292581555
2013-03-12,1010030.3291555402
2013-03-13,1011043.6197820661
2013-03-14,1014198.2921384237
2013-03-15,1012829.1283035552
2013-03-18,1005235.0575826041
2013-03-19,1003971.6591309039
2013-03-20,1010804.3110761935
2013-03-21,1002846.82311855
2013-03-22,1010401.8885544669
2013-03-25,1007574.7882279288
2013-03-26,1015711.5306366812
2013-03-27,1000000.0
2013-03-28,1000720.8259952543
2013-04-01,999965.4981618881
2013-04-02,1004712.5406295777
2013-04-03,998348.1102525711
2013-04-04,1000435.379863739
2013-04-05,998072.7796798706
2013-04-08,1002683.5015392302
2013-04-09,1005283.3566521605
2013-04-10,1018531.6661537495
2013-04-11,1021629.3121451281
2013-04-12,1025871.1885796527
2013-04-15,1007858.8042588863
2013-04-16,1016437.9533591212
2013-04-17,1005363.5058987674
2013-04-18,995570.1884826907
2013-04-19,993667.7252646274
2013-04-22,992701.4533419666
2013-04-23,1004104.8808942356
2013-04-24,1001548.9455444088
2013-04-25,1000000.0
2013-04-26,999964.9892377852
2013-04-29,1001671.9384452817
2013-04-30,1001592.0471778867
2013-05-01,996964.5990942
2013-05-02,1005475.3774784086
2013-05-03,1014342.0668834684
2013-05-06,1012389.178998554
2013-05-07,1015150.5636377637
2013-05-08,1017300.3364437692
2013-05-09,1017000.1435966432
2013-05-10,1021511.0443050935
2013-05-13,1021145.2275149706
2013-05-14,1032615.6495283582
2013-05-15,1037964.1644233015
2013-05-16,1035049.6859946364
2013-05-17,1046872.5748039549
2013-05-20,1045550.687906555
2013-05-21,1048282.6276034449
2013-05-22,1042182.966118717
2013-05-23,1000000.0
2013-05-24,1000127.860912514
2013-05-28,1002392.5829923631
2013-05-29,999034.70649786
2013-05-30,1002099.1830155374
2013-05-31,988172.023824978
2013-06-03,994479.4382032129
2013-06-04,984290.3137560369
2013-06-05,969650.107416052
2013-06-06,977135.9013564016
2013-06-07,994113.0647701399
2013-06-10,993462.2338496686
2013-06-11,984741.9505927259
2013-06-12,975355.4115628378
2013-06-13,988040.131585045
2013-06-14,980131.1898568423
2013-06-17,989634.8821889422
2013-06-18,1000455.3798290332
2013-06-19,985110.8240116655
2013-06-20,958702.5855659487
2013-06-21,1000000.0
2013-06-24,998025.024028587
2013-06-25,999968.3265340801
2013-06-26,1004645.3921041484
2013-06-27,1009649.839070892
2013-06-28,1003199.209547424
2013-07-01,1006625.8213159558
2013-07-02,1001000.0390972134
2013-07-03,1004996.7753337857
2013-07-05,1016453.7337001797
2013-07-08,1021578.6981929776
2013-07-09,1025757.3679775235
2013-07-10,1027738.1671566006
2013-07-11,1039723.8014339444
2013-07-12,1042413.2058902928
2013-07-15,1046119.5222612568
2013-07-16,1041138.2671199986
2013-07-17,1042179.1452537724
2013-07-18,1051120.5923031613
2013-07-19,1050931.1960095211
2013-07-22,1000000.0
2013-07-23,999382.1946382523
2013-07-24,998931.3921450616
2013-07-25,1001310.3812314038
2013-07-26,1000522.7941467289
2013-07-29,996832.1443573001
2013-07-30,998250.0343271258
2013-07-31,994347.757364342
2013-08-01,1004834.5487713816
2013-08-02,1007020.0764314921
2013-08-05,1005697.3577752193
2013-08-06,997186.4791646368
2013-08-07,992574.7110380098
2013-08-08,992173.538023331
