date,account_value,window_id,compounded_account_value
2021-12-28,1029112.0107836076,170,2277575.800167833
2021-12-29,1032933.6560739822,170,2286033.6616435293
2021-12-30,1029535.7071413344,170,2278513.502342976
2021-12-31,1028677.9740633316,170,2276615.2132539437
2022-01-03,1030998.0331339188,170,2281749.844216132
2022-01-04,1035648.3927797624,170,2292041.7720922683
2022-01-05,1019688.6763338394,170,2256720.579089092
2022-01-06,1015921.1369966812,170,2248382.462022556
2022-01-07,1012079.0970949478,170,2239879.4642810333
2022-01-10,1006670.97420829,170,2227910.4952262393
2022-01-11,1010901.3001856155,170,2237272.8269955884
2022-01-12,1013256.7424997636,170,2242485.7662647646
2022-01-13,1005218.8037523576,170,2224696.629045014
2022-01-14,999479.664016182,170,2211995.0711582857
2022-01-18,983326.0578760452,170,2176244.771827697
2022-01-19,1000000.0,171,2176244.771827697
2022-01-20,996939.4107486724,171,2169584.1804707833
2022-01-21,989508.7260944366,171,2153413.191840902
2022-01-24,994272.6718348616,171,2163780.703851773
2022-01-25,990807.7487620468,171,2156240.1831297744
2022-01-26,991341.2125376816,171,2157401.130882459
2022-01-27,989901.2233599776,171,2154267.361962992
2022-01-28,1004955.2090434188,171,2187028.51960175
2022-01-31,1013243.7688731308,171,2205066.454597142
2022-02-01,1020586.8068865888,171,2221046.702683262
2022-02-02,1029627.8424052352,171,2240722.208962625
2022-02-03,1013443.6574572676,171,2205501.461083318
2022-02-04,1012505.1976527328,171,2203459.142840129
2022-02-07,1011556.1873454208,171,2201393.8641204303
2022-02-08,1025707.0039385908,171,2232189.5047484087
2022-02-09,1033587.4453639144,171,2249339.274199964
2022-02-10,1015567.7712725752,171,2210124.0526686483
2022-02-11,1001318.2356013412,171,2179113.575163153
2022-02-14,997402.4116877668,171,2170591.7838438386
2022-02-15,1007690.9681185836,171,2192982.2009860575
2022-02-16,1000000.0,172,2192982.2009860575
2022-02-17,992374.4012966156,172,2176259.3987576733
2022-02-18,987782.8522945404,172,2166190.213521167
2022-02-22,973368.8607395174,172,2134580.586595838
2022-02-23,957504.2092502596,172,2099789.688255049
