date,window_seq,account_value,strategy_compounded,Close,benchmark_continuous,benchmark_window_value,benchmark_compounded,equal_weight_window_value,equal_weight_compounded
2011-05-16,3,980887.4208263628,994674.7365638033,12548.3701171875,1042209.5681737,983159.5831832717,1029544.2717934762,990613.9416950826,1023209.9381109461
2011-05-17,3,981472.1875309222,995267.7227265976,12479.580078125,1036496.1857792978,977769.9122140346,1023900.3204267373,990208.5445646887,1022791.2014515458
2011-05-18,3,987736.6813568348,1001620.2700359978,12560.1796875,1043190.4164480786,984084.8581088262,1030513.2004554482,996728.2984836966,1029525.486850913
2011-05-19,3,989863.8253006212,1003777.3130329776,12605.3203125,1046939.5879220616,987621.6073157088,1034216.810682108,998689.7346756915,1031551.4637932377
2011-05-20,3,981632.8722252124,995430.6659987502,12512.0400390625,1039192.1599620541,980313.1366621042,1026563.5321852166,992366.6451341445,1025020.3139818334
2011-05-23,3,974245.519457268,987939.4768853567,12381.259765625,1028330.1554919879,970066.5565946822,1015833.5266049107,983524.7237487229,1015887.4505597034
2011-05-24,3,973028.3855537646,986705.2349946717,12356.2099609375,1026249.6346050213,968103.9148089055,1013778.2889378105,981849.1118951006,1014156.7029607861
2011-05-25,3,975203.6824936144,988911.1078243692,12394.66015625,1029443.1299417542,971116.471630526,1016932.9757986247,983154.1350787906,1015504.667727698
2011-05-26,4,1000000.0,988911.1078243692,12402.759765625,1030115.8460244215,1000000.0,1016932.9757986247,1000000.0,1015504.667727698
2011-05-27,4,1000513.1764891626,989418.5937547764,12441.580078125,1033340.0815824385,1003129.9737504869,1020115.9493188788,1003383.5039123778,1018940.6317439926
2011-05-31,4,1003393.6238683704,992267.1001635788,12569.7900390625,1043988.6077875444,1013467.186061318,1030628.2013955946,1014271.0077925943,1029996.9427542558
2011-06-01,4,993109.5979491238,982097.1126988819,12290.1396484375,1020762.1401163618,990919.7534003977,1007698.9736031058,991794.777741736,1007172.2262246878
2011-06-02,4,992103.8796459202,981102.5466975017,12248.5498046875,1017307.880105675,987566.4800535036,1004288.9193597826,990462.79823177,1005819.5948149996
2011-06-03,4,987239.9858253484,976292.5880710599,12151.259765625,1009227.4195636284,979722.2549857777,996311.8682188259,981270.4996594064,996484.7727076176
2011-06-06,4,982389.4776082044,971495.8666165328,12089.9599609375,1004136.1413836052,974779.8223461166,991285.745486891,975666.0512224454,990793.4291598446
2011-06-07,4,979933.7965292934,969067.4163203235,12070.8095703125,1002545.5985356299,973235.7796502259,989715.5575533988,974957.0727001467,990073.4581611316
2011-06-08,4,975741.0814518436,964921.1938082908,12048.9404296875,1000729.2488906754,971472.5317087789,987922.4525772323,969829.2546480184,984866.1349939369
2011-06-09,4,983923.9662862192,973013.3395150523,12124.3603515625,1006993.2786790043,977553.4300975415,994106.3186712458,976122.1774470839,991256.6274700379
2011-06-10,4,972062.527198814,961283.4306467351,11951.91015625,992670.3632796621,963649.2508204055,979966.7002629102,962452.8019819307,977375.3128802525
2011-06-13,4,973193.486109672,962401.8484761757,11952.9697265625,992758.3662878239,963734.68102566,980053.5770557629,963853.8621465814,978798.0960172226
2011-06-14,4,982802.726344764,971904.5328824109,12076.1103515625,1002985.8569027288,973663.1668890476,990150.1817299922,974176.4394859767,989280.7214883586
2011-06-15,4,968274.9835106976,957537.8866221869,11897.26953125,988132.1657564641,959243.7293048281,975486.5801581293,959579.2795963025,974457.2374848269
2011-06-16,4,972910.6854932932,962122.183805339,11961.51953125,993468.4735103647,964424.0279814235,980754.5967068451,963650.5087700525,978591.5897141593
2011-06-17,4,976645.0668017076,965815.1549620817,12004.3603515625,997026.6338468167,967878.1640867793,984267.221615278,965895.2022133393,980871.0863834347
2011-06-20,4,980659.5893305544,969785.1608834694,12080.3798828125,1003340.464415801,974007.4073105894,990500.2511662608,971032.8928901595,986088.4352470868
2011-06-21,4,990582.7788904908,979598.3132643374,12190.009765625,1012445.815290689,982846.5596350862,999489.0766431487,982011.227927182,997236.9857210616
2011-06-22,4,983017.724229524,972117.1466788088,12109.669921875,1005773.1595529416,976368.9816388836,992901.8139755027,973993.0541160684,989094.4927892238
2011-06-23,4,978396.4682228836,967547.1352817421,12050.0,1000817.2518988372,971557.9619140334,988009.3293700849,971689.8310693479,986755.5590344612
2011-06-24,5,1000000.0,967547.1352817421,11934.580078125,991231.0071664458,1000000.0,988009.3293700849,1000000.0,986755.5590344612
2011-06-27,5,1001017.8342983244,968531.9379412774,12043.5595703125,1000282.3396049874,1009131.405669417,997031.2433617318,1009554.8161757288,996183.827011414
2011-06-28,5,1003653.8957788468,971082.4516751834,12188.6904296875,1012336.2373514939,1021291.9390459545,1009045.9637878671,1023616.927019764,1010059.6930585244
2011-06-29,5,1006211.56292057,973557.115191162,12261.419921875,1018376.8124969788,1027385.9525522031,1015066.905985348,1033304.6615483119,1019619.1189590192
2011-06-30,5,1011410.139292526,978586.9828673912,12414.33984375,1031077.6337394287,1040199.1324775938,1027726.4472905316,1043717.3946172054,1029893.9411994917
2011-07-01,5,1021279.509526634,988136.0637644375,12582.76953125,1045066.6243603358,1054311.8776598661,1041669.9711936393,1059344.2435826794,1045313.8212863653
2011-07-05,5,1019871.7733804702,986774.0126889842,12569.8701171875,1043995.2587061336,1053231.0340961998,1040602.0876691475,1058791.273617038,1044768.1750987894
2011-07-06,5,1023763.5145107268,990539.455670822,12626.01953125,1048658.7692686033,1057935.800723508,1045250.4409894369,1062342.2611558842,1048272.131792808
2011-07-07,5,1031274.2339736022,997806.4307710316,12719.490234375,1056422.013437451,1065767.722962341,1052988.453228305,1072801.1819819987,1058592.5300594778
2011-07-08,5,1025127.7044536438,991859.3737420713,12657.2001953125,1051248.4909714593,1060548.4325763583,1047831.7456342626,1067658.3596961475,1053517.8215797879
2011-07-11,5,1010692.8112951792,977892.934218501,12505.759765625,1038670.5495053825,1047859.2194916788,1035294.684724234,1052535.1284393312,1038594.8890665607
2011-07-12,5,1004677.771238283,972073.0994428461,12446.8798828125,1033780.2588407741,1042925.666536563,1030420.2883776383,1048346.203735425,1034461.4443286044
2011-07-13,5,1008514.5692927684,975785.382409118,12491.6103515625,1037495.3646341785,1046673.6382672135,1034123.3194137365,1052774.9093792473,1038831.4942419734
2011-07-14,5,1004442.2680778656,971845.2390346344,12437.1201171875,1032969.6578605261,1042107.8945193564,1029612.3219953406,1048434.708940772,1034548.777331984
2011-07-15,5,1008956.0914725228,976212.5759293028,12479.73046875,1036508.6765288434,1045678.2213581366,1033139.8382209557,1051900.1320839643,1037968.3028829357
2011-07-18,5,1001289.6138511468,968794.8974690387,12385.16015625,1028654.1038925394,1037754.1627083196,1025310.7943484607,1044648.5436960335,1030812.7577293153
2011-07-19,5,1017238.1783417034,984225.8853537329,12587.419921875,1045452.8642910883,1054701.5344885571,1042054.9557756388,1059221.5613328214,1045192.7638943229
2011-07-20,5,1019674.8488834668,986583.4789560416,12571.91015625,1044164.6949126313,1053401.9692316756,1040770.9731777146,1060175.2316889474,1046133.8034197168
2011-07-21,5,1031348.0044983196,997877.8072308904,12724.41015625,1056830.6393868695,1066179.9638491417,1053395.7510704119,1069771.1763881429,1055602.655195835
2011-07-22,5,1026800.7209347056,993478.096045602,12681.16015625,1053238.494478602,1062556.0407854996,1049815.2812746142,1069246.5285679912,1055084.9560427652
2011-07-25,6,1000000.0,993478.096045602,12592.7998046875,1045899.692468013,1000000.0,1049815.2812746142,1000000.0,1055084.9560427652
2011-07-26,6,999590.3587490082,993071.1264355049,12501.2998046875,1038300.1257834701,992733.9430929458,1042187.2636989778,995757.0412853978,1050608.2741338778
2011-07-27,6,995118.1911992072,988628.1259329317,12302.5498046875,1021792.8702801593,976951.1145653281,1025618.2091289477,977258.7560516017,1031091.0116711116
2011-07-28,6,994286.5786940574,987801.9371246678,12240.1103515625,1016606.9381733853,971992.7689953655,1020412.8621797607,975590.7058887428,1029331.0770383545
2011-07-29,6,991797.029162979,985328.6241965208,12143.240234375,1008561.3543995502,964300.268622935,1012337.1577375726,969249.2872162618,1022640.341597051
2011-08-01,6,990365.8240669247,983906.753282642,12132.490234375,1007668.5091333335,963446.6061994287,1011440.9698803256,966118.3982830958,1019336.9877846268
2011-08-02,6,975244.7178791044,968884.2654970629,11866.6201171875,985586.5672208342,942333.7384248982,989276.3586590932,945134.4103387177,997197.0977867307
2011-08-03,6,976916.0444987296,970544.6918849985,11896.4404296875,988063.304416437,944701.783098244,991762.3681439126,950389.2021720972,1002741.3495972658
2011-08-04,6,937085.5862107276,930974.0040204105,11383.6796875,945475.7694058394,903983.2177164111,949015.3959744849,911311.9893609037,961511.5702360941
