date,account_value
2023-04-27,1055802.7398910522
2023-04-28,1065746.4882125854
2023-04-30,796403.5368423462
2023-05-01,1065703.8331222534
2023-05-02,1055601.57787323
2023-05-03,1049573.5552597046
2023-05-04,1039944.7910690308
2023-05-05,1056802.7690353394
2023-05-07,796403.5368423462
2023-05-08,1055220.6744613647
2023-05-09,1051634.6166915894
2023-05-10,1051147.0168075562
2023-05-11,1043504.1709823608
2023-05-12,1045158.3028182983
2023-05-14,796403.5368423462
2023-05-15,1044514.5520858765
2023-05-16,1032424.2275924683
2023-05-17,1045339.1396102905
2023-05-18,1047777.0711898804
2023-05-19,1045592.3777084351
2023-05-21,796403.5368423462
2023-05-22,1041668.158531189
2023-05-23,1036226.4685592651
2023-05-24,1028433.0975265503
2023-05-25,1026912.1723251343
2023-05-26,1034725.7097702026
2023-05-29,796403.5368423462
2023-05-30,1029543.7494125366
2023-05-31,1023671.6779403687
2023-06-01,1035570.9287643433
2023-06-02,1061678.588432312
2023-06-04,796403.5368423462
2023-06-05,1055013.6722335815
2023-06-06,1052323.6672286987
2023-06-07,1055025.795463562
2023-06-08,1059101.1966781616
2023-06-09,1060245.2682724
2023-06-11,796403.5368423462
2023-06-12,1065242.927055359
2023-06-13,1070108.4433822632
2023-06-14,1056408.9016952515
2023-06-15,1071801.983970642
2023-06-16,1066034.6903305054
2023-06-19,796403.5368423462
2023-06-20,1061837.8064804077
2023-06-21,1063121.2309799194
2023-06-22,1064136.268913269
2023-06-23,1057879.1504745483
2023-06-25,796403.5368423462
2023-06-26,1060346.4511947632
2023-06-27,1068802.0611495972
2023-06-28,1062154.7803573608
2023-06-29,1069682.8318405151
2023-06-30,1079513.583366394
2023-07-02,796403.5368423462
2023-07-03,1078160.4283370972
2023-07-04,796403.5368423462
2023-07-05,1072540.854484558
2023-07-06,1061906.1645431519
2023-07-07,1056461.054069519
2023-07-09,796403.5368423462
2023-07-10,1060603.9511947632
2023-07-11,1069510.9024887085
2023-07-12,1067745.900718689
2023-07-13,1067909.5038375854
2023-07-14,1081408.4433517456
2023-07-16,796403.5368423462
2023-07-17,1083776.8977279663
2023-07-18,1099712.6175765991
2023-07-19,1103508.074546814
2023-07-20,1105298.5770187378
2023-07-21,1107460.6861190796
2023-07-23,796403.5368423462
2023-07-24,1113893.8822860718
2023-07-25,1118548.9304122925
2023-07-26,1114734.2028121948
2023-07-27,1107904.2275619507
2023-07-28,1113617.9580917358
2023-07-30,796403.5368423462
2023-07-31,1119590.8944320679
2023-08-01,1127677.9070663452
2023-08-02,1119444.9838180542
2023-08-03,1116795.9192123413
2023-08-04,1109953.8637008667
2023-08-06,796403.5368423462
2023-08-07,1122465.3926010132
2023-08-08,1117328.7693710327
2023-08-09,1113753.6812973022
2023-08-10,1116364.7370529175
2023-08-11,1120606.3015975952
2023-08-13,796403.5368423462
2023-08-14,1121650.1276474
2023-08-15,1109726.3599777222
2023-08-16,1105503.589012146
2023-08-17,1097891.8180160522
2023-08-18,1100090.839012146
2023-08-20,796403.5368423462
2023-08-21,1098179.201499939
2023-08-22,1091920.9725875854
2023-08-23,1097286.7601242065
2023-08-24,1087267.4969100952
2023-08-25,1094516.841117859
2023-08-27,796403.5368423462
2023-08-28,1100775.9967269897
2023-08-29,1109360.2118148804
2023-08-30,1111492.2262802124
2023-08-31,1103682.0500411987
2023-09-01,1109364.2795944214
2023-09-04,796403.5368423462
2023-09-05,1105320.9665756226
2023-09-06,1102213.157371521
2023-09-07,1105276.9266281128
2023-09-08,1106816.1662826538
2023-09-10,796403.5368423462
2023-09-11,1108835.910331726
2023-09-12,1106082.708732605
2023-09-13,1102529.2227096558
2023-09-14,1111678.9261398315
2023-09-15,1102729.8611984253
2023-09-17,796403.5368423462
2023-09-18,1103400.375328064
2023-09-19,1097441.9346847534
2023-09-20,1098695.0881576538
2023-09-21,1091065.435142517
2023-09-22,1090445.6276168823
2023-09-24,796403.5368423462
2023-09-25,1091818.9287338257
2023-09-26,1079180.7010726929
2023-09-27,1078740.5779914856
2023-09-28,1084185.0366325378
2023-09-29,1078128.4253921509
2023-10-01,796417.1153335571
2023-10-02,1080991.0942230225
2023-10-03,1068900.138343811
2023-10-04,1070326.0892677307
2023-10-05,1071600.9783287048
2023-10-06,1082866.1261672974
2023-10-08,796417.1153335571
2023-10-09,1090069.9895477295
2023-10-10,1092933.9562454224
2023-10-11,1090910.8970870972
2023-10-12,1086503.340976715
2023-10-13,1092880.6938591003
2023-10-15,796417.1153335571
2023-10-16,1102292.3792381287
2023-10-17,1104378.1908874512
2023-10-18,1092929.2528953552
2023-10-19,1081975.0546607971
2023-10-20,1074767.353816986
2023-10-22,796417.1153335571
2023-10-23,1067349.765926361
2023-10-24,1073402.0694274902
2023-10-25,1076965.3403167725
2023-10-26,1067611.0047550201
2023-10-27,1054029.4963035583
2023-10-29,796417.1153335571
2023-10-30,1069749.8951034546
2023-10-31,1070747.1800117493
2023-11-01,1075478.1354103088
2023-11-02,1092536.1745185852
2023-11-03,1094380.7406044006
2023-11-05,796417.1153335571
2023-11-06,1096448.9747886658
2023-11-07,1098345.9517822266
2023-11-08,1096975.2692375183
2023-11-09,1092826.7295913696
2023-11-10,1103723.3160972595
